s8,xiaomi
59.84599179,59.16312703
59.76964167,58.78998509
59.36587207,58.89773796
58.85430788,59.05272919
58.17328061,58.98917513
58.17328061,59.21577486
58.2506198,59.13545162
58.76084441,59.14083889
58.4648591,58.75458275
58.1009765,58.88907209
58.1009765,59.43654579
58.36898857,59.34195667
58.48188011,58.23939766
58.18562317,59.63930772
58.01104141,59.81194865
58.36899959,59.1139157
58.3761664,59.34859538
58.3761664,59.95201056
58.70287898,60.24748669
58.9249488,60.07778646
58.9249488,59.9189305
58.54825894,60.33840258
58.65287117,60.21438938
58.7807864,60.88240189
58.77741601,61.03955666
59.26140192,59.97752364
59.3354018,61.23955298
59.3354018,61.73027786
60.40588164,62.61198062
60.61314419,63.38825672
60.61314419,62.85640631
61.17946315,63.05811505
61.23182105,63.07957933
61.43895816,62.88574696
61.19528856,63.02170473
61.77968807,63.87283244
62.52404909,63.87283244
62.52404909,64.53761735
64.11306452,65.54455949
64.46883613,65.9498933
64.46883613,65.66590753
64.7967193,66.10162893
64.77806986,65.04264739
65.08945136,66.00623677
65.17086601,65.7435754
65.11103352,66.08566285
65.40258783,66.08566285
65.40258783,66.29692129
65.20632522,66.27501547
65.21919175,66.58902872
65.21919175,66.48294272
64.90472826,66.40789545
64.8004722,64.87811911
64.69925532,65.13068396
64.24206372,64.74719936
64.03229746,64.75752009
63.57578606,64.75752009
63.57578606,64.36442783
62.83272676,64.16113338
62.17226441,62.63296818
62.17226441,61.71639526
61.3902814,60.29458736
61.15688276,59.65717635
60.40779035,58.77694468
59.43704727,58.52477506
58.94386029,58.31754028
58.21293294,58.52477506
58.21293294,57.95688115
57.25593771,57.54578216
56.84744014,57.00820325
56.84744014,56.52789173
56.32325819,54.50380763
55.66085625,53.80507508
55.06262532,53.70929345
54.44762726,52.89853801
53.91934456,52.89853801
53.84097033,52.07537173
53.84097033,52.51664345
53.26199808,52.28181947
53.11367905,51.6891914
53.11367905,51.85043093
52.81941828,50.67131697
52.80836078,49.86903064
52.80836078,51.00724321
52.55370186,51.00724321
52.50453939,50.37575475
52.70019719,50.46636929
52.2128744,51.16616159
52.2128744,51.33591691
52.34748778,51.52913991
52.57504475,51.09893378
52.57504475,51.76255604
53.02945468,52.11123711
53.01990745,51.48105525
53.1804319,51.88214543
53.01990745,51.48105525
53.04409926,52.57216567
53.12652435,52.18640659
53.14401027,53.13904825
53.14401027,52.61884622
53.33657847,53.71136186
54.05231486,53.744065
54.05231486,54.25538113
54.58374885,54.5027185
55.10419089,54.5027185
55.10419089,55.05482408
55.61478728,55.08614787
55.95550126,55.4914043
56.19103363,55.61284316
56.32189487,55.7703236
56.32189487,56.50370623
56.63756819,56.55468385
57.43470763,57.43510899
57.25038266,56.55468385
57.43470763,58.209361
58.11552327,58.27547255
58.14365755,58.15650043
58.0422699,57.87504007
58.44768261,58.45896652
58.52388245,59.23340241
59.02858474,58.81431844
59.02858474,58.81431844
59.45321591,59.88320102
59.64695642,59.17251385
59.59388654,60.15973749
59.59388654,60.10400061
59.63766139,60.12111962
59.81325485,60.12985072
60.15143712,60.48087651
60.53948483,60.45093958
61.17011214,60.61739228
60.75378935,60.69550983
61.17011214,60.69550983
61.26435156,60.87041122
61.77552426,61.20374665
61.86995772,60.83602496
61.86995772,61.42765053
61.83316123,61.77982835
62.12798477,61.5705247
62.2179931,62.58263791
62.65954545,62.58263791
62.87555621,63.34908312
63.11832414,62.54014693
62.87555621,63.34409975
63.03501456,63.03633352
63.56532253,63.18585391
63.56532253,64.51804481
63.11832414,64.14499114
63.4953881,63.68385293
63.62342704,64.45222238
63.49762847,64.45222238
63.27277551,64.76792778
63.6016984,65.27418972
63.6016984,64.63378486
64.11784607,64.52612607
64.11784607,64.02750105
64.93177157,63.35577342
65.25895504,64.32937172
65.25895504,63.5503989
64.87925472,63.5503989
64.28303418,63.01851119
63.9370836,63.66789721
63.25084536,63.20154779
63.22164927,63.44491534
63.22164927,62.45337083
63.34540503,61.51097814
63.3031945,62.1209305
63.34540503,62.13602723
63.02181478,62.22965027
63.02181478,62.22965027
62.87105496,61.78897738
62.58268066,60.89334505
62.2446493,61.08466767
62.07160756,59.77803783
61.58928694,59.38501256
61.58928694,58.57232163
61.18307361,58.39111648
61.18307361,57.25871414
60.83272505,57.25871414
59.84118124,57.82622844
59.84118124,56.43348022
59.3691209,57.37543696
59.06097001,55.67121215
58.589696,54.97019917
58.32541039,54.28566534
57.87926873,54.25142668
57.87926873,53.9211769
57.28684627,53.9211769
57.28684627,53.61473225
56.70875873,53.97310686
55.97859956,54.16302524
55.97859956,52.91180864
55.71445114,52.7224831
55.42020708,52.77293137
55.42020708,52.09895727
54.67943462,52.09895727
54.27172818,52.73607309
54,52.38447261
53.8,52.74286555
